precinct,raceName,name,votePercentage
1005,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,37.93%
1005,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,62.07%
1005,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,37.93%
1006,STATE OF TEXAS PROPOSITION 1,For ,80.20%
1006,STATE OF TEXAS PROPOSITION 1,Against ,19.80%
1006,STATE OF TEXAS PROPOSITION 2,For ,72.28%
1006,STATE OF TEXAS PROPOSITION 2,Against ,27.72%
1006,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,74.00%
1006,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,26.00%
1006,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,71.00%
1006,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,29.00%
1006,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,72.16%
1006,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,27.84%
1006,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,76.53%
1006,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,23.47%
1006,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,76.29%
1006,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,23.71%
1006,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,72.28%
1006,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,27.72%
1007,STATE OF TEXAS PROPOSITION 1,For ,92.41%
1007,STATE OF TEXAS PROPOSITION 1,Against ,7.59%
1007,STATE OF TEXAS PROPOSITION 2,For ,77.22%
1007,STATE OF TEXAS PROPOSITION 2,Against ,22.78%
1007,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,88.61%
1007,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,11.39%
1007,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,86.08%
1007,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,13.92%
1007,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,78.75%
1007,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,21.25%
1007,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,81.48%
1007,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,18.52%
1007,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,73.42%
1007,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,26.58%
1007,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,77.78%
1007,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,22.22%
1008,STATE OF TEXAS PROPOSITION 1,For ,81.74%
1008,STATE OF TEXAS PROPOSITION 1,Against ,18.26%
1008,STATE OF TEXAS PROPOSITION 2,For ,80.72%
1008,STATE OF TEXAS PROPOSITION 2,Against ,19.28%
1008,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,84.58%
1008,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,15.42%
1008,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,85.46%
1008,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,14.54%
1008,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,81.06%
1008,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,18.94%
1008,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,81.50%
1008,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,18.50%
1008,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,75.33%
1008,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,24.67%
1008,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,77.53%
1008,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,22.47%
1009,STATE OF TEXAS PROPOSITION 1,For ,96.72%
1009,STATE OF TEXAS PROPOSITION 1,Against ,3.28%
1009,STATE OF TEXAS PROPOSITION 2,For ,95.16%
1009,STATE OF TEXAS PROPOSITION 2,Against ,4.84%
1009,NORTHSIDE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,64.52%
1009,NORTHSIDE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,35.48%
1010,STATE OF TEXAS PROPOSITION 1,For ,82.81%
1010,STATE OF TEXAS PROPOSITION 1,Against ,17.19%
1010,STATE OF TEXAS PROPOSITION 2,For ,84.38%
1010,STATE OF TEXAS PROPOSITION 2,Against ,15.62%
1010,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,90.91%
1010,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,9.09%
1010,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,90.91%
1010,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,9.09%
1010,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,89.23%
1010,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,10.77%
1010,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,84.62%
1010,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,15.38%
1010,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,72.73%
1010,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,27.27%
1010,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,80.30%
1010,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,19.70%
1011,STATE OF TEXAS PROPOSITION 1,For ,77.63%
1011,STATE OF TEXAS PROPOSITION 1,Against ,22.37%
1011,STATE OF TEXAS PROPOSITION 2,For ,63.64%
1011,STATE OF TEXAS PROPOSITION 2,Against ,36.36%
1011,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,61.04%
1011,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,38.96%
1011,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,71.43%
1011,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,28.57%
1011,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,64.10%
1011,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,35.90%
1011,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,62.82%
1011,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,37.18%
1011,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,57.69%
1011,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,42.31%
1011,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,58.44%
1011,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,41.56%
1011,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,55.13%
1011,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,44.87%
1011,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,50.00%
1011,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,50.00%
1011,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,51.28%
1011,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,48.72%
1012,STATE OF TEXAS PROPOSITION 1,For ,89.78%
1012,STATE OF TEXAS PROPOSITION 1,Against ,10.22%
1012,STATE OF TEXAS PROPOSITION 2,For ,77.37%
1012,STATE OF TEXAS PROPOSITION 2,Against ,22.63%
1012,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,84.29%
1012,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,15.71%
1012,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,80.43%
1012,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,19.57%
1012,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,71.63%
1012,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,28.37%
1012,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,77.70%
1012,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,22.30%
1012,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,74.81%
1012,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,25.19%
1012,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,72.46%
1012,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,27.54%
1012,NORTHSIDE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,67.63%
1012,NORTHSIDE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,32.37%
1013,STATE OF TEXAS PROPOSITION 1,For ,89.74%
1013,STATE OF TEXAS PROPOSITION 1,Against ,10.26%
1013,STATE OF TEXAS PROPOSITION 2,For ,75.63%
1013,STATE OF TEXAS PROPOSITION 2,Against ,24.37%
1013,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,85.71%
1013,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,14.29%
1013,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,87.50%
1013,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,12.50%
1013,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,78.81%
1013,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,21.19%
1013,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,84.03%
1013,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,15.97%
1013,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,72.17%
1013,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,27.83%
1013,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,82.35%
1013,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,17.65%
1014,STATE OF TEXAS PROPOSITION 1,For ,80.43%
1014,STATE OF TEXAS PROPOSITION 1,Against ,19.57%
1014,STATE OF TEXAS PROPOSITION 2,For ,71.74%
1014,STATE OF TEXAS PROPOSITION 2,Against ,28.26%
1014,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,76.09%
1014,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,23.91%
1014,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,73.91%
1014,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,26.09%
1014,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,67.39%
1014,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,32.61%
1014,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,68.89%
1014,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,31.11%
1014,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,68.18%
1014,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,31.82%
1014,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,65.22%
1014,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,34.78%
1014,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,51.52%
1014,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,48.48%
1014,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,45.45%
1014,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,54.55%
1014,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,51.52%
1014,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,48.48%
1015,STATE OF TEXAS PROPOSITION 1,For ,87.27%
1015,STATE OF TEXAS PROPOSITION 1,Against ,12.73%
1015,STATE OF TEXAS PROPOSITION 2,For ,71.43%
1015,STATE OF TEXAS PROPOSITION 2,Against ,28.57%
1015,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,77.19%
1015,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,22.81%
1015,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,73.68%
1015,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,26.32%
1015,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,69.09%
1015,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,30.91%
1015,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,73.21%
1015,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,26.79%
1015,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,70.91%
1015,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,29.09%
1015,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,71.43%
1015,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,28.57%
1015,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,73.91%
1015,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,26.09%
1015,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,69.57%
1015,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,30.43%
1015,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,70.21%
1015,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,29.79%
1016,STATE OF TEXAS PROPOSITION 1,For ,79.55%
1016,STATE OF TEXAS PROPOSITION 1,Against ,20.45%
1016,STATE OF TEXAS PROPOSITION 2,For ,52.27%
1016,STATE OF TEXAS PROPOSITION 2,Against ,47.73%
1016,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,70.45%
1016,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,29.55%
1016,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,60.47%
1016,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,39.53%
1016,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,50.00%
1016,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,50.00%
1016,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,56.82%
1016,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,43.18%
1016,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,55.81%
1016,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,44.19%
1016,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,65.91%
1016,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,34.09%
1016,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,46.67%
1016,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,53.33%
1016,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,33.33%
1016,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,66.67%
1016,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,42.22%
1016,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,57.78%
1017,STATE OF TEXAS PROPOSITION 1,For ,85.71%
1017,STATE OF TEXAS PROPOSITION 1,Against ,14.29%
1017,STATE OF TEXAS PROPOSITION 2,For ,85.71%
1017,STATE OF TEXAS PROPOSITION 2,Against ,14.29%
1017,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,84.62%
1017,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,15.38%
1017,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,71.43%
1017,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,28.57%
1017,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,78.57%
1017,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,21.43%
1017,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,64.29%
1017,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,35.71%
1017,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,71.43%
1017,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,28.57%
1017,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,78.57%
1017,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,21.43%
1017,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,50.00%
1017,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,50.00%
1017,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,50.00%
1017,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,50.00%
1017,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,50.00%
1017,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,50.00%
1018,STATE OF TEXAS PROPOSITION 1,For ,75.00%
1018,STATE OF TEXAS PROPOSITION 1,Against ,25.00%
1018,STATE OF TEXAS PROPOSITION 2,For ,66.67%
1018,STATE OF TEXAS PROPOSITION 2,Against ,33.33%
1018,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,75.51%
1018,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,24.49%
1018,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,73.47%
1018,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,26.53%
1018,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,57.45%
1018,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,42.55%
1018,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,65.22%
1018,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,34.78%
1018,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,59.57%
1018,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,40.43%
1018,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,68.09%
1018,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,31.91%
1018,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,57.14%
1018,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,42.86%
1018,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,53.06%
1018,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,46.94%
1018,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,57.14%
1018,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,42.86%
1019,STATE OF TEXAS PROPOSITION 1,For ,88.00%
1019,STATE OF TEXAS PROPOSITION 1,Against ,12.00%
1019,STATE OF TEXAS PROPOSITION 2,For ,84.62%
1019,STATE OF TEXAS PROPOSITION 2,Against ,15.38%
1019,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,77.78%
1019,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,22.22%
1019,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,81.48%
1019,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,18.52%
1019,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,71.70%
1019,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,28.30%
1019,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,75.00%
1019,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,25.00%
1019,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,69.09%
1019,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,30.91%
1019,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,72.22%
1019,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,27.78%
1019,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,60.61%
1019,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,39.39%
1019,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,53.12%
1019,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,46.88%
1019,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,54.55%
1019,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,45.45%
1020,STATE OF TEXAS PROPOSITION 1,For ,80.15%
1020,STATE OF TEXAS PROPOSITION 1,Against ,19.85%
1020,STATE OF TEXAS PROPOSITION 2,For ,72.79%
1020,STATE OF TEXAS PROPOSITION 2,Against ,27.21%
1020,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,68.84%
1020,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,31.16%
1020,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,64.96%
1020,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,35.04%
1020,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,58.70%
1020,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,41.30%
1020,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,64.49%
1020,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,35.51%
1020,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,59.85%
1020,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,40.15%
1020,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,58.39%
1020,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,41.61%
1020,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,57.66%
1020,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,42.34%
1020,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,FOR ,51.47%
1020,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION B,AGAINST ,48.53%
1020,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,FOR ,52.94%
1020,HARLANDALE INDEPENDENT SCHOOL DISTRICT - PROPOSITION C,AGAINST ,47.06%
